app_category,reviews_count,free_paid,age_rating,year,month,day,weekday,quarter,is_weekend,is_month_start,is_month_end,week_of_year,is_holiday_season,is_holiday,holiday_name,min_base_os_version,is_wear_os,is_version_range
ART_AND_DESIGN,"5,000,000+",Free,Everyone,2018,8,1,2,3,False,True,False,31,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,6,20,2,2,False,False,False,25,False,False,Not Holiday,4.4,False,False
ART_AND_DESIGN,"50,000+",Free,Everyone,2017,3,26,6,1,True,False,False,12,False,False,Not Holiday,2.3,False,False
ART_AND_DESIGN,"50,000+",Free,Everyone,2018,4,26,3,2,False,False,False,17,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"1,000,000+",Free,Everyone,2018,6,14,3,2,False,False,False,24,False,False,Not Holiday,4.2,False,False
ART_AND_DESIGN,"10,000+",Free,Everyone,2018,7,3,1,3,False,False,False,27,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"1,000,000+",Free,Everyone,2017,10,27,4,4,False,False,False,43,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"1,000,000+",Free,Everyone,2018,7,31,1,3,False,False,True,31,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,6,26,1,2,False,False,False,26,False,False,Not Holiday,4.4,False,False
ART_AND_DESIGN,"500,000+",Free,Everyone,2018,7,31,1,3,False,False,True,31,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"5,000,000+",Free,Everyone,2018,8,3,4,3,False,False,False,31,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,4,20,4,2,False,False,False,16,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,3,20,1,1,False,False,False,12,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"500,000+",Free,Everyone 10+,2018,7,12,3,3,False,False,False,28,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"10,000+",Free,Everyone,2018,4,25,2,2,False,False,False,17,False,False,Not Holiday,3.0,False,False
ART_AND_DESIGN,"500,000+",Free,Everyone,2017,10,11,2,4,False,False,False,41,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,3,21,2,1,False,False,False,12,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"10,000+",Free,Everyone,2018,7,12,3,3,False,False,False,28,False,False,Not Holiday,2.3,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2017,8,22,1,3,False,False,False,34,False,False,Not Holiday,2.3,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,7,12,3,3,False,False,False,28,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,1,6,5,1,True,False,False,1,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,7,11,2,3,False,False,False,28,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"500,000+",Free,Everyone,2018,3,31,5,1,True,False,True,13,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,4,2,0,2,False,False,False,14,False,False,Not Holiday,4.0,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,4,15,6,2,True,False,False,15,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"10,000+",Free,Everyone,2018,1,3,2,1,False,False,False,1,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"10,000,000+",Free,Everyone,2018,7,31,1,3,False,False,True,31,False,False,Not Holiday,4.1,False,False
ART_AND_DESIGN,"100,000+",Free,Everyone,2017,11,14,1,4,False,False,False,46,True,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,5,10,3,2,False,False,False,19,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"1,000,000+",Free,Everyone,2018,7,26,3,3,False,False,False,30,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,26,3,3,False,False,False,30,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,31,1,3,False,False,True,31,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,18,2,3,False,False,False,29,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"50,000+",Free,Everyone,2018,7,29,6,3,True,False,False,30,False,False,Not Holiday,4.4,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,26,3,3,False,False,False,30,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2014,8,26,1,3,False,False,False,35,False,False,Not Holiday,2.2,False,False
AUTO_AND_VEHICLES,"10,000+",Free,Everyone,2018,7,8,6,3,True,False,False,27,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,3,1,3,False,False,False,27,False,False,Not Holiday,4.2,False,False
AUTO_AND_VEHICLES,"1,000,000+",Free,Everyone,2018,7,28,5,3,True,False,False,30,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,6,12,1,2,False,False,False,24,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,3,1,3,False,False,False,27,False,False,Not Holiday,4.2,False,False
AUTO_AND_VEHICLES,"10,000+",Free,Everyone,2018,7,30,0,3,False,False,False,31,False,False,Not Holiday,4.4,False,False
AUTO_AND_VEHICLES,"5,000,000+",Free,Everyone,2018,7,16,0,3,False,False,False,29,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"5,000,000+",Free,Everyone,2018,8,2,3,3,False,False,False,31,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"500,000+",Free,Everyone,2018,8,2,3,3,False,False,False,31,False,False,Not Holiday,4.2,False,False
AUTO_AND_VEHICLES,"10,000,000+",Free,Teen,2018,7,11,2,3,False,False,False,28,False,False,Not Holiday,5.0,False,False
AUTO_AND_VEHICLES,"50,000+",Free,Everyone,2018,6,14,3,2,False,False,False,24,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,6,8,4,2,False,False,False,23,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,3,27,1,1,False,False,False,13,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"1,000,000+",Free,Everyone,2018,7,15,6,3,True,False,False,28,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"50,000+",Free,Everyone,2018,7,24,1,3,False,False,False,30,False,False,Not Holiday,6.0,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,23,0,3,False,False,False,30,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"1,000,000+",Free,Everyone,2018,7,23,0,3,False,False,False,30,False,False,Not Holiday,4.4,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,7,29,6,3,True,False,False,30,False,False,Not Holiday,2.3,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,4,27,4,2,False,False,False,17,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"100,000+",Free,Everyone,2018,5,16,2,2,False,False,False,20,False,False,Not Holiday,4.1,False,False
AUTO_AND_VEHICLES,"1,000,000+",Free,Everyone,2018,7,31,1,3,False,False,True,31,False,False,Not Holiday,4.0,False,False
AUTO_AND_VEHICLES,"500,000+",Free,Everyone,2018,6,2,5,2,True,False,False,22,False,False,Not Holiday,4.0,False,False
BEAUTY,"500,000+",Free,Everyone,2018,8,2,3,3,False,False,False,31,False,False,Not Holiday,5.0,False,False
BEAUTY,"1,000,000+",Free,Everyone,2017,11,9,3,4,False,False,False,45,True,False,Not Holiday,4.1,False,False
BEAUTY,"500,000+",Free,Everyone,2018,7,12,3,3,False,False,False,28,False,False,Not Holiday,4.0,False,False
BEAUTY,"500,000+",Free,Everyone,2018,2,28,2,1,False,False,True,9,False,False,Not Holiday,4.1,False,False
BEAUTY,"1,000,000+",Free,Everyone,2018,5,10,3,2,False,False,False,19,False,False,Not Holiday,4.0,False,False
BEAUTY,"50,000+",Free,Everyone,2018,6,21,3,2,False,False,False,25,False,False,Not Holiday,4.2,False,False
BEAUTY,"100,000+",Free,Everyone,2018,6,2,5,2,True,False,False,22,False,False,Not Holiday,4.0,False,False
BEAUTY,"10,000+",Free,Everyone,2018,7,26,3,3,False,False,False,30,False,False,Not Holiday,4.0,False,False
BEAUTY,"10,000+",Free,Everyone,2018,4,9,0,2,False,False,False,15,False,False,Not Holiday,4.0,False,False
BEAUTY,"10,000+",Free,Everyone,2018,3,1,3,1,False,True,False,9,False,False,Not Holiday,4.0,False,False
BEAUTY,"10,000+",Free,Everyone,2018,4,5,3,2,False,False,False,14,False,False,Not Holiday,4.0,False,False
BEAUTY,"1,000,000+",Free,Everyone,2017,11,21,1,4,False,False,False,47,True,False,Not Holiday,4.0,False,False
BEAUTY,"1,000,000+",Free,Everyone,2018,7,24,1,3,False,False,False,30,False,False,Not Holiday,5.0,False,False
BEAUTY,"500,000+",Free,Everyone,2018,7,12,3,3,False,False,False,28,False,False,Not Holiday,4.0,False,False
BEAUTY,"500,000+",Free,Everyone,2018,5,14,0,2,False,False,False,20,False,False,Not Holiday,4.0,False,False
BEAUTY,"10,000+",Free,Everyone,2018,7,2,0,3,False,False,False,27,False,False,Not Holiday,4.1,False,False
BEAUTY,"5,000+",Free,Everyone,2018,6,7,3,2,False,False,False,23,False,False,Not Holiday,4.0,False,False
BEAUTY,"100,000+",Free,Everyone,2018,5,24,3,2,False,False,False,21,False,False,Not Holiday,4.0,False,False
BEAUTY,"5,000+",Free,Everyone,2018,6,1,4,2,False,True,False,22,False,False,Not Holiday,4.0,False,False
BEAUTY,"100,000+",Free,Mature 17+,2017,3,1,2,1,False,True,False,9,False,False,Not Holiday,1.6,False,False
BEAUTY,"10,000+",Free,Everyone,2018,4,5,3,2,False,False,False,14,False,False,Not Holiday,4.0,False,False
BEAUTY,"1,000,000+",Free,Everyone,2018,7,30,0,3,False,False,False,31,False,False,Not Holiday,4.0,False,False
BEAUTY,"50,000+",Free,Everyone,2017,8,7,0,3,False,False,False,32,False,False,Not Holiday,4.0,False,False
BOOKS_AND_REFERENCE,"50,000+",Free,Everyone,2018,8,3,4,3,False,False,False,31,False,False,Not Holiday,4.4,False,False
BOOKS_AND_REFERENCE,"100,000+",Free,Everyone 10+,2017,7,31,0,3,False,False,True,31,False,False,Not Holiday,4.0,False,False
BOOKS_AND_REFERENCE,"100,000+",Free,Everyone,2018,3,27,1,1,False,False,False,13,False,False,Not Holiday,4.1,False,False
