app_category,reviews_count,free_paid,age_rating,year,month,day,weekday,quarter,is_weekend,is_month_start,is_month_end,week_of_year,is_holiday_season,is_holiday,holiday_name,min_base_os_version,is_wear_os,is_version_range,app_name
ART_AND_DESIGN,"5,000,000+",Free,Everyone,2018,8,1,2,3,False,True,False,31,False,False,Not Holiday,4.0,False,False,"U Launcher Lite – FREE Live Cool Themes, Hide Apps"
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,6,20,2,2,False,False,False,25,False,False,Not Holiday,4.4,False,False,Pixel Draw - Number Art Coloring Book
ART_AND_DESIGN,"50,000+",Free,Everyone,2017,3,26,6,1,True,False,False,12,False,False,Not Holiday,2.3,False,False,Paper flowers instructions
ART_AND_DESIGN,"50,000+",Free,Everyone,2018,4,26,3,2,False,False,False,17,False,False,Not Holiday,4.0,False,False,Smoke Effect Photo Maker - Smoke Editor
ART_AND_DESIGN,"1,000,000+",Free,Everyone,2018,6,14,3,2,False,False,False,24,False,False,Not Holiday,4.2,False,False,Infinite Painter
ART_AND_DESIGN,"10,000+",Free,Everyone,2018,7,3,1,3,False,False,False,27,False,False,Not Holiday,4.0,False,False,Kids Paint Free - Drawing Fun
ART_AND_DESIGN,"1,000,000+",Free,Everyone,2017,10,27,4,4,False,False,False,43,False,False,Not Holiday,4.1,False,False,Text on Photo - Fonteee
ART_AND_DESIGN,"1,000,000+",Free,Everyone,2018,7,31,1,3,False,False,True,31,False,False,Not Holiday,4.0,False,False,Name Art Photo Editor - Focus n Filters
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,6,26,1,2,False,False,False,26,False,False,Not Holiday,4.4,False,False,Mandala Coloring Book
ART_AND_DESIGN,"500,000+",Free,Everyone,2018,7,31,1,3,False,False,True,31,False,False,Not Holiday,4.1,False,False,Photo Designer - Write your name with shapes
ART_AND_DESIGN,"5,000,000+",Free,Everyone,2018,8,3,4,3,False,False,False,31,False,False,Not Holiday,4.0,False,False,FlipaClip - Cartoon animation
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,4,20,4,2,False,False,False,16,False,False,Not Holiday,4.1,False,False,Logo Maker - Small Business
ART_AND_DESIGN,"100,000+",Free,Everyone,2018,3,20,1,1,False,False,False,12,False,False,Not Holiday,4.0,False,False,Boys Photo Editor - Six Pack & Men's Suit
ART_AND_DESIGN,"500,000+",Free,Everyone 10+,2018,7,12,3,3,False,False,False,28,False,False,Not Holiday,4.0,False,False,Superheroes Wallpapers | 4K Backgrounds
